city,temp,humid,wind,clouds,lat,lng,maxtemp,country,local_date_time
outlook,56.59,21,8.05,64,51.5001,-107.0513,57.2,CA,2021-05-10 16:17:22
bubaque,75.7,76,13.6,13,11.2833,-15.8333,75.7,GW,2021-05-10 22:17:22
zhanaozen,53.19,58,11.77,75,43.3,52.8,53.19,KZ,2021-05-11 03:17:23
la ronge,59.9,20,5.75,88,55.1001,-105.2842,60.8,CA,2021-05-10 16:17:23
paragominas,71.53,97,2.15,48,-2.9667,-47.4833,71.53,BR,2021-05-10 19:17:23
marzuq,76.46,41,3.96,100,14.4,46.4667,76.46,YE,2021-05-11 01:13:39
nuevo progreso,81,91,1.01,100,23.1667,-97.95,81,MX,2021-05-10 17:17:23
ichon,66.38,37,1.14,1,37.2792,127.4425,68,KR,2021-05-11 07:17:24
george,60.8,88,3.44,90,-33.963,22.4617,60.8,ZA,2021-05-11 00:17:24
muswellbrook,75,49,7.67,79,-32.2667,150.9,75,AU,2021-05-11 08:17:24
lahaina,81.25,51,17.27,40,20.8783,-156.6825,84.2,US,2021-05-10 12:13:38
swedru,80.6,89,8.05,0,5.5371,-0.6998,80.6,GH,2021-05-10 22:17:24
aljezur,53.94,73,8.08,7,37.3191,-8.8033,53.94,PT,2021-05-10 23:17:24
goundam,89.49,20,10.89,63,16.4145,-3.6708,89.49,ML,2021-05-10 22:17:25
viedma,47.41,63,7.09,5,-40.8135,-62.9967,47.41,AR,2021-05-10 19:17:25
sinnamary,77.34,87,10.83,100,5.3833,-52.95,77.34,GF,2021-05-10 19:17:25
los llanos de aridane,60.71,68,11.5,90,28.6585,-17.9182,68,ES,2021-05-10 23:17:25
mitsamiouli,78.78,66,15.57,76,-11.3847,43.2844,78.78,KM,2021-05-11 01:17:26
ijui,64.4,82,6.91,90,-28.3878,-53.9147,64.4,BR,2021-05-10 19:17:26
meulaboh,82.02,79,3.18,91,4.1363,96.1285,82.02,ID,2021-05-11 05:12:41
saint-augustin,38.53,96,11.95,100,51.226,-58.6502,38.53,CA,2021-05-10 18:17:26
kambove,56.77,79,3.44,59,-10.8764,26.5969,56.77,CD,2021-05-11 00:17:26
